file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score
gaze_log_20250627_164031.csv,18,0.17458612389034694,0.4026501178741455,5,7,6,3.0631164803224453,2.154077706468873,1,81,0.1111111111111111,0.10493827160493827,3.1666666666666665,55
gaze_log_20250629_141647.csv,13,0.12174844741821289,0.2777900695800781,6,3,4,5.664701660474141,3.8931908212222717,0,140,0.15384615384615385,0.15384615384615385,2.3076923076923075,53
gaze_log_20250629_145019.csv,8,0.13871124386787415,0.23502016067504883,3,2,3,6.720258576529367,7.785840756867136,0,74,0.125,0.125,4.125,48
gaze_log_20250627_115227.csv,4,0.08995997905731201,0.11076998710632324,0,2,2,11.574380000432333,8.444923643453288,0,69,0.0,0.0,3.0,29
gaze_log_20250629_114726.csv,15,0.08597931861877442,0.09705018997192383,7,0,8,4.216382844107492,6.220841973230112,6,51,0.13333333333333333,0.08,2.3333333333333335,53
gaze_log_20250629_182751.csv,7,0.11897424289158412,0.16670989990234375,2,1,4,10.822563330332438,6.636498356486237,0,50,0.14285714285714285,0.14285714285714285,2.7142857142857144,29
gaze_log_20250628_150928.csv,41,0.13379412162594678,0.41711997985839844,18,10,13,1.8518380045890808,1.583087868882592,21,691,0.12195121951219512,0.059488399762046396,2.8292682926829267,64
gaze_log_20250628_165005.csv,3,0.24108346303304037,0.4595801830291748,0,0,3,2.2279149293899536,1.4224549531936646,0,46,0.0,0.0,1.6666666666666667,54
gaze_log_20250629_120643.csv,10,0.13895995616912843,0.2639298439025879,4,2,4,7.9882055388556585,4.902827724831739,0,48,0.0,0.0,2.6,55
gaze_log_20250629_132327.csv,40,0.12100474834442139,0.1939098834991455,19,6,15,1.8853364113049629,1.3622281829648444,16,50,0.025,0.015,2.75,56
gaze_log_20250629_183936.csv,3,0.13288656870524088,0.2078397274017334,2,0,1,22.05641508102417,21.670435190200806,0,95,0.6666666666666666,0.6666666666666666,2.3333333333333335,31
gaze_log_20250629_190037.csv,53,0.3062592137534663,0.9308397769927979,29,16,8,1.256978846513308,2.0857996617687613,42,4397,0.09433962264150944,0.019579921680313275,6.773584905660377,66
gaze_log_20250629_125317.csv,20,0.14909349679946898,0.2772798538208008,5,8,7,3.467175270381727,2.4332496670417094,2,176,0.15,0.135,4.75,61
gaze_log_20250628_125757.csv,10,0.09574298858642578,0.12477993965148926,7,1,2,6.700422234005398,5.193028758725092,0,46,0.0,0.0,3.9,38
gaze_log_20250628_141513.csv,35,0.12222999164036343,0.22954988479614258,5,15,15,2.125136466587291,3.336668435928029,23,247,0.08571428571428572,0.02938775510204082,2.914285714285714,63
gaze_log_20250624_213719.csv,3,0.0972299575805664,0.11158013343811035,2,0,1,17.485299944877625,15.322120070457458,0,29,0.3333333333333333,0.3333333333333333,3.6666666666666665,100
gaze_log_20250629_114350.csv,16,0.09109251201152802,0.1111598014831543,1,3,12,3.023188002904256,3.0089134194711815,5,452,0.0625,0.04296875,2.5,48
gaze_log_20250627_131532.csv,22,0.2478804588317871,0.8468799591064453,8,4,10,3.4116009644099643,3.21439202196994,3,165,0.18181818181818182,0.15702479338842976,3.227272727272727,71
gaze_log_20250627_130823.csv,8,0.32318124175071716,0.8753998279571533,3,0,5,9.250268595559257,10.969198280285786,1,90,0.125,0.109375,9.25,66
gaze_log_20250629_122153.csv,8,0.10948377847671509,0.1391301155090332,3,0,5,9.768651417323522,7.630137872080073,0,37,0.0,0.0,4.25,80
gaze_log_20250628_135330.csv,36,0.27928805351257324,0.9859399795532227,12,13,11,2.0508420058659147,1.9432095915824894,12,3735,0.1388888888888889,0.0925925925925926,3.4444444444444446,58
gaze_log_20250628_142635.csv,10,0.12088100910186768,0.2643702030181885,3,3,4,6.4186966684129505,4.733470160192915,0,65,0.4,0.4,3.1,45
gaze_log_20250628_112002.csv,17,0.1354859296013327,0.2222599983215332,8,3,6,4.350086867809296,4.073066630255177,2,73,0.058823529411764705,0.05190311418685121,2.4705882352941178,47
gaze_log_20250628_113724.csv,10,0.09305408000946044,0.11116981506347656,4,1,5,6.961606687969631,6.047640174981419,1,36,0.1,0.09000000000000001,3.3,60
gaze_log_20250628_170903.csv,3,0.09228658676147461,0.11044979095458984,3,0,0,10.590614914894104,10.090584874153137,0,8,0.0,0.0,3.0,66
gaze_log_20250629_140716.csv,9,0.1133122444152832,0.1805100440979004,4,3,2,5.510357469320297,6.2511705757485245,0,125,0.2222222222222222,0.2222222222222222,2.888888888888889,37
gaze_log_20250628_133347.csv,37,0.13605457383233147,0.7082901000976562,13,6,18,2.0437172253926597,2.164027425172417,18,758,0.10810810810810811,0.05551497443389335,2.108108108108108,48
gaze_log_20250627_170431.csv,11,0.15098636800592596,0.20820021629333496,6,2,3,7.058696985244751,7.83251297810349,0,25,0.09090909090909091,0.09090909090909091,4.454545454545454,56
gaze_log_20250626_145753.csv,4,0.23973006010055542,0.5285999774932861,0,2,2,3.5783366362253823,3.008409577579658,1,44,0.0,0.0,2.25,87
gaze_log_20250629_174921.csv,7,0.10311147144862584,0.13902974128723145,1,5,1,7.917251666386922,10.47659542493814,3,28,0.0,0.0,2.7142857142857144,53
gaze_log_20250629_181228.csv,10,0.11096000671386719,0.26376986503601074,7,1,2,7.06808778974745,5.657470385788734,2,59,0.1,0.08000000000000002,3.0,52
gaze_log_20250629_175419.csv,5,0.08306598663330078,0.08350992202758789,2,0,3,15.80158245563507,16.081219923417002,0,57,0.0,0.0,3.2,46
gaze_log_20250628_170121.csv,4,0.09706753492355347,0.12469005584716797,3,1,0,12.103116671244303,9.525080976736222,0,16,0.0,0.0,3.25,44
gaze_log_20250627_174326.csv,19,0.1857973901849044,0.4025399684906006,7,6,6,3.8298122220569186,3.2044270412290023,4,33,0.10526315789473684,0.08310249307479224,2.789473684210526,43
gaze_log_20250627_144030.csv,10,0.14559102058410645,0.2220900058746338,6,3,1,7.3613233301374645,8.437538349834364,1,43,0.1,0.09000000000000001,4.0,61
gaze_log_20250629_151752.csv,18,0.09928667545318604,0.12510991096496582,6,3,9,3.899625301361084,3.5061364786594855,5,120,0.16666666666666666,0.12037037037037036,1.7222222222222223,45
gaze_log_20250627_142521.csv,9,0.12652670012580025,0.1527700424194336,3,2,4,5.859564989805222,4.359923407865026,0,22,0.1111111111111111,0.1111111111111111,2.6666666666666665,55
gaze_log_20250628_164746.csv,11,0.13486543568697842,0.22160005569458008,2,3,6,5.318544006347656,3.198224448342306,1,76,0.09090909090909091,0.08264462809917356,4.0,55
gaze_log_20250627_140646.csv,4,0.09714508056640625,0.11122989654541016,1,2,1,9.041016658147177,3.7376913716852003,0,23,0.0,0.0,3.0,52
gaze_log_20250628_115632.csv,63,0.26612712088085355,0.7360000610351562,29,6,28,1.2023482245783652,1.1445395160544316,50,433,0.07936507936507936,0.016376921138825905,4.888888888888889,47
gaze_log_20250629_184557.csv,3,0.08807659149169922,0.09715986251831055,1,1,1,23.338794946670532,5.491925001144409,0,45,0.0,0.0,3.3333333333333335,52
gaze_log_20250629_185107.csv,7,0.10492420196533203,0.1803300380706787,4,0,3,9.794336676597595,9.543294230180845,0,38,0.0,0.0,2.5714285714285716,54
gaze_log_20250628_140627.csv,3,0.14379000663757324,0.1949901580810547,1,0,2,14.340540051460266,13.881909728050232,0,16,0.3333333333333333,0.3333333333333333,3.6666666666666665,41
gaze_log_20250629_131129.csv,42,0.15545167241777694,0.763660192489624,15,9,18,1.7043690274401408,1.4811385747918902,22,911,0.09523809523809523,0.04535147392290249,2.9523809523809526,48
gaze_log_20250624_201119.csv,10,0.18048195838928222,0.4024498462677002,8,0,2,7.5933077865176735,8.686741166509725,0,26,0.2,0.2,3.3,4
gaze_log_20250628_162045.csv,33,0.16785726402745102,0.4720497131347656,14,8,11,2.199814051389694,1.1782227933477114,7,107,0.15151515151515152,0.11937557392102846,5.0,52
gaze_log_20250629_143804.csv,9,0.10181890593634711,0.15227007865905762,4,2,3,6.433837473392487,5.547043400322701,1,81,0.0,0.0,2.3333333333333335,50
gaze_log_20250627_165402.csv,18,0.21121550930870903,0.4028501510620117,4,4,10,3.645345884210923,2.0169089048633984,0,93,0.2222222222222222,0.2222222222222222,5.444444444444445,55
gaze_log_20250629_124916.csv,8,0.13178378343582153,0.34706997871398926,3,3,2,9.988295725413732,7.731664503376718,0,59,0.0,0.0,2.625,76
gaze_log_20250628_123350.csv,14,0.14272075039999826,0.30549001693725586,6,3,5,4.927713082386897,3.87861737621623,2,26,0.0,0.0,3.4285714285714284,49
gaze_log_20250629_122432.csv,12,0.12025336424509685,0.3742499351501465,0,5,7,3.4670627117156982,3.0068529320563666,2,147,0.0,0.0,3.4166666666666665,85
gaze_log_20250628_164146.csv,57,0.1385503609975179,0.5139601230621338,14,11,32,1.3266507174287523,1.2380559576669734,42,225,0.07017543859649122,0.018467220683287166,3.1403508771929824,36
gaze_log_20250629_135007.csv,6,0.08753009637196858,0.09751009941101074,4,0,2,14.134270000457764,8.239777432864752,0,23,0.0,0.0,1.6666666666666667,51
