file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score,Stress Group,Clusters
gaze_log_20250628_120602.csv,3,0.1020033359527587,0.1248400211334228,3,0,0,4.7787699699401855,1.489449977874756,0,15,0.0,0.0,3.6666666666666665,37,Low,0
gaze_log_20250627_133637.csv,5,0.0944720268249511,0.1111800670623779,0,3,2,7.18059241771698,1.9328567803797143,0,52,0.2,0.2,4.0,59,High,0
gaze_log_20250629_122906.csv,9,0.2406833436754014,0.4455699920654297,4,1,4,9.030029982328417,6.33804159629306,0,36,0.0,0.0,4.222222222222222,48,Low,2
gaze_log_20250628_154744.csv,10,0.1040489912033081,0.1663501262664795,2,4,4,5.9542111025916205,4.283196978855597,1,184,0.0,0.0,5.2,43,Low,0
gaze_log_20250628_144218.csv,11,0.0937408750707453,0.1248102188110351,5,4,2,5.6889240026474,3.6993139567854727,0,86,0.1818181818181818,0.1818181818181818,3.636363636363636,47,Low,0
gaze_log_20250628_113354.csv,34,0.1013493958641501,0.4445199966430664,9,10,15,1.868741512298584,2.644474440148783,20,106,0.0588235294117647,0.0242214532871972,3.0294117647058822,58,High,1
gaze_log_20250628_142133.csv,4,0.1076074838638305,0.1666402816772461,4,0,0,7.459330081939697,3.5315181902554524,0,29,0.25,0.25,2.5,45,Low,0
gaze_log_20250629_135506.csv,9,0.1355744732750786,0.3052599430084228,2,4,3,7.538466244935989,5.946326949519186,1,603,0.2222222222222222,0.1975308641975308,3.7777777777777777,43,Low,0
gaze_log_20250627_165704.csv,19,0.0979568079898231,0.1248598098754882,12,6,1,2.0234188901053534,2.213289465067408,9,147,0.1578947368421052,0.0831024930747922,3.631578947368421,48,Low,1
gaze_log_20250628_150709.csv,32,0.0988414958119392,0.1388900279998779,12,6,14,2.1995096668120357,1.6818282354860512,6,94,0.0625,0.05078125,2.0625,53,Mid,1
gaze_log_20250629_134744.csv,7,0.093322856085641,0.1256101131439209,2,1,4,11.442925016085306,8.871811258905044,0,39,0.0,0.0,1.7142857142857142,41,Low,0
gaze_log_20250628_111635.csv,4,0.0831749439239502,0.0832500457763671,2,0,2,18.19574332237244,18.342340231326443,0,105,0.0,0.0,2.75,41,Low,0
gaze_log_20250629_150201.csv,5,0.0859320640563964,0.0972399711608886,3,2,0,9.09815502166748,6.519184598100734,0,50,0.2,0.2,2.6,38,Low,0
gaze_log_20250629_185825.csv,19,0.1043726394050999,0.1528000831604004,9,4,6,3.6731088823742337,2.635387456919355,4,53,0.1052631578947368,0.0831024930747922,2.5789473684210527,44,Low,0
gaze_log_20250628_145923.csv,39,0.1141053713285006,0.3332099914550781,16,9,14,1.8696434246866327,1.9886322748032232,21,457,0.1282051282051282,0.059171597633136,2.7948717948717947,40,Low,1
gaze_log_20250627_142036.csv,5,0.0915779590606689,0.1108999252319336,4,0,1,14.2433699965477,15.849365360218949,0,59,0.2,0.2,1.2,51,Mid,0
gaze_log_20250629_142952.csv,7,0.112814222063337,0.1526899337768554,2,2,3,11.780718326568604,9.625749371586046,0,58,0.0,0.0,2.7142857142857144,54,Mid,0
gaze_log_20250629_152002.csv,8,0.1421449184417724,0.2217800617218017,5,1,2,9.082048552376884,7.6689520904212225,1,87,0.375,0.328125,5.875,39,Low,0
gaze_log_20250627_114113.csv,4,0.1073948740959167,0.1109898090362548,1,2,1,6.323149998982747,1.2053408614163732,0,15,0.0,0.0,3.5,54,Mid,0
